RCPS Problem 4 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 33/2+06:51
asm_1.step_237 39/2+03:25
asm_1.step_238 5/1+00:15
asm_1.step_239 8/2+06:25
asm_1.step_240 49/1+05:33
asm_1.step_241 49/1+07:18
asm_1.step_242 49/1+00:55
asm_1.step_243 22/1+03:25
asm_1.step_244 16/1+02:52
asm_1.step_245 49/2+07:18
asm_1.step_246 51/1+03:55
asm_1.step_247 2/1+02:20
asm_1.step_248 9/1+00:00
asm_1.step_249 6/1+05:31
asm_1.step_250 17/2+00:00
asm_1.step_251 23/1+00:00
asm_1.step_252 48/1+00:00
asm_1.step_253 1/1+00:00
asm_1.step_254 2/2+00:45
asm_1.step_255 12/1+02:01
asm_1.step_256 26/1+00:00
asm_1.step_257 31/1+00:00
asm_1.step_258 22/2+02:10
asm_1.step_259 8/2+04:25
asm_1.step_260 5/1+01:55
asm_1.step_261 26/1+07:24
asm_1.step_262 19/1+01:41
asm_1.step_263 20/2+01:32
asm_1.step_264 18/1+00:00
asm_1.step_265 21/1+00:00
asm_1.step_266 9/1+03:30
asm_1.step_267 22/1+03:55
asm_1.step_268 55/2+04:30
asm_1.step_269 54/1+06:30
asm_1.step_270 16/1+01:37
asm_1.step_271 6/1+04:00
asm_1.step_272 6/2+02:30
asm_1.step_273 49/1+00:00
asm_1.step_274 15/2+04:42
asm_1.step_275 13/2+04:01
asm_1.step_276 24/1+06:28
asm_1.step_277 32/1+01:12
asm_1.step_278 9/1+01:58
asm_1.step_279 21/1+03:02
asm_1.step_280 44/2+00:00
asm_1.step_281 33/2+06:36
asm_1.step_282 55/2+06:45
asm_1.step_283 18/1+03:49
asm_1.step_284 6/1+03:30
asm_1.step_285 6/2+04:36
asm_1.step_286 6/2+04:55
asm_1.step_287 22/1+04:57
asm_1.step_288 5/2+01:30
asm_1.step_289 13/1+00:00
asm_1.step_290 34/1+02:25
asm_1.step_291 9/2+01:58
asm_1.step_292 53/2+06:30
asm_1.step_293 5/1+00:00
asm_1.step_294 32/2+00:00
asm_1.step_295 3/1+06:02
asm_1.step_296 18/2+02:36
asm_1.step_297 23/1+02:45
asm_1.step_298 8/1+01:25
asm_1.step_299 51/2+00:28
asm_1.step_300 7/1+03:06
asm_1.step_301 34/2+02:25
asm_1.step_302 26/2+07:24
asm_1.step_303 5/1+05:35
asm_1.step_304 4/1+00:35
asm_1.step_305 22/1+01:30
asm_1.step_306 5/1+06:50
asm_1.step_307 26/1+00:00
asm_1.step_308 2/1+05:47
asm_1.step_309 28/1+00:24
asm_1.step_310 54/1+07:00
asm_1.step_311 5/1+06:55
asm_1.step_312 7/1+04:55
asm_1.step_313 11/1+03:01
asm_1.step_314 2/1+05:47
asm_1.step_315 40/1+00:00
asm_1.step_316 9/2+05:58
asm_1.step_317 31/1+07:24
asm_1.step_318 5/2+03:20
asm_1.step_319 11/2+02:01
asm_1.step_320 12/2+02:01
asm_1.step_321 49/1+01:30
asm_1.step_322 19/2+06:37
asm_1.step_323 13/2+00:00
asm_1.step_324 27/1+03:54
asm_1.step_325 37/1+01:00
asm_1.step_326 38/1+00:00
asm_1.step_327 37/1+05:00
asm_1.step_328 9/1+04:25
asm_1.step_329 2/1+01:20
asm_1.step_330 18/1+01:00
asm_1.step_331 11/1+02:25
asm_1.step_332 10/1+00:00
asm_1.step_333 21/1+02:27
asm_1.step_334 2/2+03:50
asm_1.step_335 47/1+00:00
asm_1.step_336 24/2+02:58
asm_1.step_337 18/1+00:00
asm_1.step_338 13/1+03:01
asm_1.step_339 11/2+03:01
asm_1.step_340 2/1+01:20
asm_1.step_341 19/2+05:00
asm_1.step_342 24/1+00:00
asm_1.step_343 5/2+00:45
asm_1.step_344 3/2+02:02
asm_1.step_345 15/1+02:16
asm_1.step_346 3/2+04:04
asm_1.step_347 19/1+06:37
asm_1.step_348 20/1+00:00
asm_1.step_349 56/1+01:45
asm_1.step_350 15/1+06:19
asm_1.step_351 37/1+07:01
asm_1.step_352 6/2+03:30
asm_1.step_353 3/2+00:15
asm_1.step_354 11/2+03:01
asm_1.step_355 15/2+00:49
asm_1.step_356 5/1+01:25
asm_1.step_357 18/1+01:00
asm_1.step_358 6/1+02:30
asm_1.step_359 39/1+02:25
asm_1.step_360 6/1+04:31
asm_1.step_361 42/2+00:00
asm_1.step_362 2/2+04:30
asm_1.step_363 11/1+06:25
asm_1.step_364 27/1+05:24
asm_1.step_365 16/1+04:42
asm_1.step_366 1/1+00:00
asm_1.step_367 41/1+00:00
asm_1.step_368 2/1+05:47
asm_1.step_369 5/2+03:38
asm_1.step_370 33/2+05:06
asm_1.step_371 7/1+00:00
asm_1.step_372 9/1+00:00
asm_1.step_373 33/2+04:06
asm_1.step_374 19/1+03:49
asm_1.step_375 22/2+00:28
asm_1.step_376 35/1+00:00
asm_1.step_377 13/1+01:01
asm_1.step_378 1/2+02:25
asm_1.step_379 17/2+05:42
asm_1.step_380 4/1+00:00
asm_1.step_381 28/1+03:54
asm_1.step_382 9/1+00:40
asm_1.step_383 1/1+06:03
asm_1.step_384 15/1+00:00
asm_1.step_385 9/2+01:58
asm_1.step_386 1/2+04:50
asm_1.step_387 11/1+00:00
asm_1.step_388 26/1+07:24
asm_1.step_389 26/2+07:24
asm_1.step_390 3/1+02:17
asm_1.step_391 27/2+03:54
asm_1.step_392 52/1+06:30
asm_1.step_393 1/1+04:03
asm_1.step_394 20/2+05:27
asm_1.step_395 15/2+00:12
asm_1.step_396 7/1+07:06
asm_1.step_397 16/2+04:42
asm_1.step_398 3/2+06:50
asm_1.step_399 14/1+03:30
asm_1.step_400 33/1+00:06
asm_1.step_401 22/1+04:40
asm_1.step_402 16/2+02:25
asm_1.step_403 9/1+05:55
asm_1.step_404 15/1+00:00
asm_1.step_405 30/2+07:24
asm_1.step_406 18/2+00:00
asm_1.step_407 13/2+02:56
asm_1.step_408 55/1+07:00
asm_1.step_409 23/1+00:00
asm_1.step_410 15/1+01:00
asm_1.step_411 9/2+05:58
asm_1.step_412 5/1+02:55
asm_1.step_413 20/1+06:37
asm_1.step_414 7/2+00:55
asm_1.step_415 18/2+03:49
asm_1.step_416 4/2+00:00
asm_1.step_417 10/1+05:58
asm_1.step_418 1/2+05:50
asm_1.step_419 33/2+04:36
asm_1.step_420 13/2+00:00
asm_1.step_421 8/1+00:55
asm_1.step_422 2/2+04:30
asm_1.step_423 30/1+07:24
asm_1.step_424 52/1+00:00
asm_1.step_425 14/1+01:51
asm_1.step_426 33/2+04:51
asm_1.step_427 9/1+04:09
asm_1.step_428 13/1+01:01
asm_1.step_429 24/2+02:58
asm_1.step_430 3/1+00:00
asm_1.step_431 6/2+03:30
asm_1.step_432 11/2+05:26
asm_1.step_433 18/1+00:00
asm_1.step_434 6/2+05:55
asm_1.step_435 36/2+00:00
asm_1.step_436 12/2+07:10
asm_1.step_437 19/1+00:00
asm_1.step_438 49/1+06:33
asm_1.step_439 39/1+00:00
asm_1.step_440 4/2+02:30
asm_1.step_441 7/2+00:55
asm_1.step_442 16/1+03:10
asm_1.step_443 7/1+01:25
asm_1.step_444 7/2+04:58
asm_1.step_445 23/1+00:00
asm_1.step_446 2/1+01:20
asm_1.step_447 11/1+00:00
asm_1.step_448 7/1+04:55
asm_1.step_449 3/1+07:02
asm_1.step_450 4/2+06:15
asm_1.step_451 29/2+00:54
asm_1.step_452 27/1+07:24
asm_1.step_453 10/1+07:03
asm_1.step_454 2/1+01:20
asm_1.step_455 9/1+03:09
asm_1.step_456 13/1+02:01
asm_1.step_457 10/1+00:00
asm_1.step_458 20/2+01:32
asm_1.step_459 22/1+02:15
asm_1.step_460 12/2+00:31
asm_1.step_461 4/2+06:30
asm_1.step_462 8/1+00:00
asm_1.step_463 32/1+00:00
asm_1.step_464 3/2+00:17
asm_1.step_465 18/1+03:25
asm_1.step_466 13/1+00:00
asm_1.step_467 15/1+07:19
asm_1.step_468 9/1+01:58
asm_1.step_469 24/2+04:59
asm_1.step_470 26/2+07:24
asm_1.step_471 15/1+06:12
asm_1.step_472 22/1+05:57
asm_1.step_473 8/1+00:41
asm_1.step_474 3/1+06:02
asm_1.step_475 47/2+00:00
asm_1.step_476 5/2+00:30
asm_1.step_477 3/1+00:45
asm_1.step_478 12/1+02:01
asm_1.step_479 8/1+01:55
asm_1.step_480 2/1+01:20
asm_1.step_481 3/1+06:35
asm_1.step_482 20/1+00:00
asm_1.step_483 5/1+00:00
asm_1.step_484 5/2+04:08
asm_1.step_485 26/1+04:59
asm_1.step_486 9/2+05:58
asm_1.step_487 8/1+05:10
asm_1.step_488 27/2+03:54
asm_1.step_489 25/1+04:59
asm_1.step_490 51/2+02:53
asm_1.step_491 3/1+01:00
asm_1.step_492 6/1+05:30
asm_1.step_493 28/2+07:24
asm_1.step_494 24/1+00:00
asm_1.step_495 13/2+00:12
asm_1.step_496 3/2+05:40
asm_1.step_497 32/2+00:06
asm_1.step_498 17/1+04:42
asm_1.step_499 28/1+03:54
asm_1.step_500 3/1+00:45
asm_1.step_501 18/1+05:50
asm_1.step_502 7/2+06:11
asm_1.step_503 6/1+03:30
asm_1.step_504 2/1+01:20
asm_1.step_505 9/2+06:25
asm_1.step_506 10/2+02:28
asm_1.step_507 2/2+01:20
asm_1.step_508 22/2+01:10
asm_1.step_509 7/2+01:25
asm_1.step_510 10/1+00:00
asm_1.step_511 31/1+00:00
asm_1.step_512 31/2+07:24
asm_1.step_513 16/1+00:00
asm_1.step_514 2/1+02:20
asm_1.step_515 50/1+01:30
asm_1.step_516 14/1+00:12
asm_1.step_517 9/1+00:00
asm_1.step_518 52/2+06:30
asm_1.step_519 8/1+01:28
asm_1.step_520 1/1+00:00
asm_1.step_521 23/1+05:10
asm_1.step_522 10/2+00:00
asm_1.step_523 53/1+03:03
asm_1.step_524 15/2+05:42
asm_1.step_525 18/1+03:25
asm_1.step_526 25/2+04:59
asm_1.step_527 7/2+05:10
asm_1.step_528 8/2+01:25
asm_1.step_529 5/2+00:30
asm_1.step_530 14/1+02:21
asm_1.step_531 4/1+04:04
asm_1.step_532 10/2+04:30
asm_1.step_533 8/2+01:28
asm_1.step_534 31/2+00:00
asm_1.step_535 19/1+02:11
asm_1.step_536 12/2+00:00
asm_1.step_537 10/1+00:00
asm_1.step_538 4/2+06:30
asm_1.step_539 20/1+06:37
asm_1.step_540 33/2+04:21
asm_1.step_541 15/1+00:12
asm_1.step_542 19/1+02:11
asm_1.step_543 4/1+00:00
asm_1.step_544 10/2+06:31
asm_1.step_545 19/1+04:12
asm_1.step_546 14/1+05:31
asm_1.step_547 49/2+01:30
asm_1.step_548 2/2+04:30
asm_1.step_549 41/2+00:00
asm_1.step_550 4/1+03:50
asm_1.step_551 14/2+04:51
asm_1.step_552 8/2+01:58
asm_1.step_553 15/2+06:42
asm_1.step_554 54/1+06:30
asm_1.step_555 9/2+00:00
asm_1.step_556 11/2+05:56
asm_1.step_557 25/1+00:00
asm_1.step_558 33/2+00:36
asm_1.step_559 44/1+00:00
asm_1.step_560 3/1+00:00
asm_1.step_561 14/2+07:16
asm_1.step_562 8/2+01:58
asm_1.step_563 20/1+06:52
asm_1.step_564 54/2+07:00
asm_1.step_565 14/1+02:21
asm_1.step_566 29/1+07:24
asm_1.step_567 50/1+00:00
asm_1.step_568 2/1+03:45
asm_1.step_569 16/1+02:37
asm_1.step_570 18/2+04:12
asm_1.step_571 21/1+00:00
asm_1.step_572 34/1+01:51
asm_1.step_573 6/1+00:00
asm_1.step_574 10/1+03:53
asm_1.step_575 4/1+00:35


