RCPS Problem 2 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 26/2+05:09
asm_1.step_428 7/2+07:03
asm_1.step_429 12/2+05:57
asm_1.step_430 1/2+02:43
asm_1.step_431 6/1+04:23
asm_1.step_432 9/1+01:26
asm_1.step_433 10/2+04:13
asm_1.step_434 4/2+05:18
asm_1.step_435 30/1+07:16
asm_1.step_436 6/1+04:48
asm_1.step_437 14/2+05:56
asm_1.step_438 42/1+02:51
asm_1.step_439 31/2+04:49
asm_1.step_440 2/2+03:11
asm_1.step_441 4/1+07:23
asm_1.step_442 16/1+04:51
asm_1.step_443 4/2+00:23
asm_1.step_444 3/2+06:48
asm_1.step_445 18/1+05:24
asm_1.step_446 1/2+01:13
asm_1.step_447 7/1+03:38
asm_1.step_448 5/2+00:53
asm_1.step_449 3/1+05:44
asm_1.step_450 3/1+02:48
asm_1.step_451 24/2+00:48
asm_1.step_452 22/2+01:18
asm_1.step_453 6/2+03:38
asm_1.step_454 1/2+01:13
asm_1.step_455 4/2+01:29
asm_1.step_456 6/2+05:23
asm_1.step_457 4/2+04:18
asm_1.step_458 15/2+01:31
asm_1.step_459 17/2+05:39
asm_1.step_460 9/1+01:56
asm_1.step_461 3/1+04:53
asm_1.step_462 5/1+04:38
asm_1.step_463 25/2+04:51
asm_1.step_464 3/1+06:29
asm_1.step_465 11/1+00:08
asm_1.step_466 9/2+01:26
asm_1.step_467 10/2+04:28
asm_1.step_468 5/1+00:23
asm_1.step_469 19/2+06:23
asm_1.step_470 22/1+01:18
asm_1.step_471 8/2+02:33
asm_1.step_472 17/1+03:31
asm_1.step_473 4/2+01:23
asm_1.step_474 3/1+05:38
asm_1.step_475 40/1+03:48
asm_1.step_476 3/2+05:48
asm_1.step_477 2/1+01:43
asm_1.step_478 10/1+01:26
asm_1.step_479 6/1+05:23
asm_1.step_480 1/2+01:13
asm_1.step_481 2/1+01:48
asm_1.step_482 15/1+02:26
asm_1.step_483 2/2+01:38
asm_1.step_484 3/2+04:56
asm_1.step_485 20/2+04:22
asm_1.step_486 5/1+02:56
asm_1.step_487 6/2+00:38
asm_1.step_488 22/2+03:48
asm_1.step_489 20/1+06:23
asm_1.step_490 40/1+01:26
asm_1.step_491 2/1+02:43
asm_1.step_492 4/1+06:31
asm_1.step_493 17/2+05:24
asm_1.step_494 18/1+02:21
asm_1.step_495 9/1+05:35
asm_1.step_496 2/1+06:43
asm_1.step_497 25/1+05:54
asm_1.step_498 12/2+04:51
asm_1.step_499 23/1+03:48
asm_1.step_500 2/1+03:43
asm_1.step_501 11/1+04:58
asm_1.step_502 5/2+03:18
asm_1.step_503 4/1+07:23
asm_1.step_504 1/2+01:13
asm_1.step_505 7/2+02:33
asm_1.step_506 8/1+03:53
asm_1.step_507 2/1+01:13
asm_1.step_508 17/1+00:16
asm_1.step_509 5/2+04:23
asm_1.step_510 4/2+07:24
asm_1.step_511 26/1+04:51
asm_1.step_512 24/2+01:18
asm_1.step_513 12/2+00:21
asm_1.step_514 1/2+02:13
asm_1.step_515 38/2+03:48
asm_1.step_516 9/2+05:35
asm_1.step_517 6/1+05:23
asm_1.step_518 42/1+03:36
asm_1.step_519 4/1+07:23
asm_1.step_520 1/1+00:00
asm_1.step_521 10/2+00:05
asm_1.step_522 6/1+00:53
asm_1.step_523 41/2+00:24
asm_1.step_524 13/1+00:21
asm_1.step_525 11/1+00:08
asm_1.step_526 20/2+06:23
asm_1.step_527 6/1+00:38
asm_1.step_528 6/2+00:38
asm_1.step_529 3/2+05:48
asm_1.step_530 6/1+00:04
asm_1.step_531 3/1+00:53
asm_1.step_532 5/2+01:18
asm_1.step_533 4/2+07:23
asm_1.step_534 26/2+04:51
asm_1.step_535 10/1+00:44
asm_1.step_536 9/1+05:23
asm_1.step_537 5/1+00:23
asm_1.step_538 2/2+07:11
asm_1.step_539 16/1+02:26
asm_1.step_540 26/2+02:39
asm_1.step_541 8/1+04:03
asm_1.step_542 10/1+00:44
asm_1.step_543 2/1+01:13
asm_1.step_544 8/2+00:26
asm_1.step_545 10/1+02:45
asm_1.step_546 6/1+03:14
asm_1.step_547 38/1+03:48
asm_1.step_548 2/2+01:38
asm_1.step_549 35/2+06:48
asm_1.step_550 3/1+00:43
asm_1.step_551 10/1+04:23
asm_1.step_552 4/2+00:59
asm_1.step_553 10/1+06:48
asm_1.step_554 43/2+03:36
asm_1.step_555 7/1+03:38
asm_1.step_556 5/2+04:23
asm_1.step_557 19/2+04:22
asm_1.step_558 26/1+06:24
asm_1.step_559 36/1+03:18
asm_1.step_560 2/1+04:20
asm_1.step_561 10/1+06:48
asm_1.step_562 6/1+05:23
asm_1.step_563 16/1+02:26
asm_1.step_564 44/1+04:06
asm_1.step_565 9/2+05:53
asm_1.step_566 18/2+05:24
asm_1.step_567 38/1+06:03
asm_1.step_568 1/2+01:13
asm_1.step_569 10/2+03:43
asm_1.step_570 9/2+01:09
asm_1.step_571 15/2+02:26
asm_1.step_572 27/1+00:09
asm_1.step_573 4/1+04:53
asm_1.step_574 4/2+04:05
asm_1.step_575 2/1+06:43


