RCPS Problem 3 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 35/1+06:15
asm_1.step_077 8/2+04:00
asm_1.step_078 14/2+00:00
asm_1.step_079 30/1+00:00
asm_1.step_080 25/1+02:25
asm_1.step_081 14/1+00:00
asm_1.step_082 15/2+02:25
asm_1.step_083 47/1+00:00
asm_1.step_084 7/1+00:00
asm_1.step_085 22/1+00:00
asm_1.step_086 8/1+06:00
asm_1.step_087 25/1+00:00
asm_1.step_088 25/2+00:00
asm_1.step_089 3/1+00:00
asm_1.step_090 12/1+04:44
asm_1.step_091 17/2+00:00
asm_1.step_092 4/1+04:00
asm_1.step_093 34/2+00:00
asm_1.step_094 25/2+00:00
asm_1.step_095 25/1+00:00
asm_1.step_096 12/1+06:00
asm_1.step_097 6/2+00:00
asm_1.step_098 43/1+00:00
asm_1.step_099 5/2+00:00
asm_1.step_100 49/2+00:00
asm_1.step_101 30/1+00:00
asm_1.step_102 22/1+01:30
asm_1.step_103 18/2+00:00
asm_1.step_104 53/2+04:03
asm_1.step_105 22/1+06:30
asm_1.step_106 1/2+00:00
asm_1.step_107 17/1+00:00
asm_1.step_108 5/1+01:00
asm_1.step_109 3/2+00:00
asm_1.step_110 7/1+02:30
asm_1.step_111 56/2+07:00
asm_1.step_112 36/1+00:00
asm_1.step_113 41/2+00:00
asm_1.step_114 15/2+05:25
asm_1.step_115 49/2+00:00
asm_1.step_116 23/1+02:25
asm_1.step_117 18/2+00:00
asm_1.step_118 22/2+04:48
asm_1.step_119 44/1+00:00
asm_1.step_120 13/1+02:55
asm_1.step_121 14/2+00:12
asm_1.step_122 7/2+00:00
asm_1.step_123 23/1+00:00
asm_1.step_124 22/2+04:48
asm_1.step_125 17/2+00:00
asm_1.step_126 11/2+04:00
asm_1.step_127 16/2+00:00
asm_1.step_128 56/2+04:00
asm_1.step_129 15/2+00:00
asm_1.step_130 35/2+00:00
asm_1.step_131 9/2+00:00
asm_1.step_132 36/2+00:00
asm_1.step_133 27/2+00:00
asm_1.step_134 51/1+00:00
asm_1.step_135 18/1+02:25
asm_1.step_136 12/1+00:00
asm_1.step_137 15/1+00:00
asm_1.step_138 15/1+05:00
asm_1.step_139 2/1+06:25
asm_1.step_140 14/2+00:00
asm_1.step_141 16/1+00:00
asm_1.step_142 24/1+00:00
asm_1.step_143 19/1+00:00
asm_1.step_144 9/1+03:45
asm_1.step_145 4/2+02:45
asm_1.step_146 13/2+00:00
asm_1.step_147 49/1+00:15
asm_1.step_148 14/1+00:00
asm_1.step_149 15/2+00:00
asm_1.step_150 33/1+00:00
asm_1.step_151 29/1+00:00
asm_1.step_152 51/2+00:00
asm_1.step_153 24/1+01:00
asm_1.step_154 11/1+06:38
asm_1.step_155 34/1+00:00
asm_1.step_156 30/2+00:00
asm_1.step_157 32/1+00:18
asm_1.step_158 23/1+06:00
asm_1.step_159 23/1+00:00
asm_1.step_160 36/1+01:00
asm_1.step_161 7/1+02:30
asm_1.step_162 7/1+02:30
asm_1.step_163 5/1+00:00
asm_1.step_164 36/2+00:00
asm_1.step_165 18/1+00:00
asm_1.step_166 50/1+00:00
asm_1.step_167 51/1+03:45
asm_1.step_168 19/1+02:25
asm_1.step_169 7/1+03:30
asm_1.step_170 35/1+00:00
asm_1.step_171 29/2+04:00
asm_1.step_172 7/1+02:30
asm_1.step_173 50/2+00:00
asm_1.step_174 52/2+00:00
asm_1.step_175 1/1+00:00
asm_1.step_176 6/2+04:00
asm_1.step_177 22/1+05:30
asm_1.step_178 36/1+02:30
asm_1.step_179 53/2+00:00
asm_1.step_180 8/1+00:00
asm_1.step_181 16/2+00:00
asm_1.step_182 29/1+04:00
asm_1.step_183 15/1+00:00
asm_1.step_184 31/1+00:00
asm_1.step_185 32/1+01:18
asm_1.step_186 22/1+06:30
asm_1.step_187 49/1+01:00
asm_1.step_188 12/1+04:00
asm_1.step_189 31/1+00:00
asm_1.step_190 52/2+02:25
asm_1.step_191 13/1+00:00
asm_1.step_192 47/2+00:00
asm_1.step_193 57/1+04:00
asm_1.step_194 22/2+00:00
asm_1.step_195 12/2+00:00
asm_1.step_196 5/2+00:00
asm_1.step_197 37/1+00:00
asm_1.step_198 24/2+04:00
asm_1.step_199 13/2+00:00
asm_1.step_200 2/1+00:00
asm_1.step_201 25/1+06:00
asm_1.step_202 32/1+00:00
asm_1.step_203 24/1+00:00
asm_1.step_204 23/1+00:00
asm_1.step_205 2/2+00:00
asm_1.step_206 50/1+00:00
asm_1.step_207 7/2+06:35
asm_1.step_208 20/2+00:00
asm_1.step_209 33/1+00:00
asm_1.step_210 9/1+06:35
asm_1.step_211 6/1+06:30
asm_1.step_212 21/2+00:00
asm_1.step_213 34/1+00:00
asm_1.step_214 23/2+00:00
asm_1.step_215 28/1+00:00
asm_1.step_216 40/2+03:00
asm_1.step_217 9/1+00:00
asm_1.step_218 24/1+00:00
asm_1.step_219 10/1+03:45
asm_1.step_220 30/1+00:00
asm_1.step_221 31/2+00:00
asm_1.step_222 49/1+04:00
asm_1.step_223 38/1+00:00
asm_1.step_224 10/1+00:00
asm_1.step_225 8/1+00:00
asm_1.step_226 5/2+00:00
asm_1.step_227 19/2+00:00
asm_1.step_228 1/1+01:00
asm_1.step_229 6/1+06:00
asm_1.step_230 10/1+00:00
asm_1.step_231 7/1+00:00
asm_1.step_232 16/1+00:00
asm_1.step_233 15/1+00:00
asm_1.step_234 13/1+00:00
asm_1.step_235 20/1+00:00
asm_1.step_236 7/1+04:31
asm_1.step_237 40/2+04:00
asm_1.step_238 5/2+00:00
asm_1.step_239 9/2+03:30
asm_1.step_240 50/2+05:00
asm_1.step_241 51/1+00:00
asm_1.step_242 50/2+00:00
asm_1.step_243 22/1+06:30
asm_1.step_244 18/1+03:40
asm_1.step_245 51/2+00:00
asm_1.step_246 51/2+01:30
asm_1.step_247 2/2+00:00
asm_1.step_248 8/1+00:00
asm_1.step_249 7/2+00:00
asm_1.step_250 19/1+00:00
asm_1.step_251 23/2+00:00
asm_1.step_252 49/1+00:00
asm_1.step_253 1/1+00:00
asm_1.step_254 3/1+00:00
asm_1.step_255 12/1+00:00
asm_1.step_256 26/1+00:00
asm_1.step_257 31/1+00:00
asm_1.step_258 21/1+00:00
asm_1.step_259 10/2+00:00
asm_1.step_260 6/1+00:00
asm_1.step_261 27/2+00:00
asm_1.step_262 17/1+00:00
asm_1.step_263 19/2+00:00
asm_1.step_264 19/2+00:00
asm_1.step_265 24/1+01:00
asm_1.step_266 9/1+04:03
asm_1.step_267 22/2+04:03
asm_1.step_268 56/2+05:00
asm_1.step_269 55/1+00:00
asm_1.step_270 18/1+02:25
asm_1.step_271 7/1+03:30
asm_1.step_272 7/1+03:36
asm_1.step_273 49/1+04:37
asm_1.step_274 17/1+04:30
asm_1.step_275 13/2+00:00
asm_1.step_276 26/1+00:00
asm_1.step_277 32/2+00:00
asm_1.step_278 10/2+00:00
asm_1.step_279 23/1+00:00
asm_1.step_280 45/2+00:00
asm_1.step_281 35/1+06:00
asm_1.step_282 57/1+00:00
asm_1.step_283 19/2+00:00
asm_1.step_284 7/2+00:00
asm_1.step_285 8/1+00:00
asm_1.step_286 8/1+00:00
asm_1.step_287 17/2+00:00
asm_1.step_288 6/1+00:00
asm_1.step_289 14/1+00:00
asm_1.step_290 35/2+00:00
asm_1.step_291 11/1+00:00
asm_1.step_292 54/2+00:00
asm_1.step_293 5/1+04:00
asm_1.step_294 34/1+00:00
asm_1.step_295 4/2+00:00
asm_1.step_296 15/2+00:00
asm_1.step_297 17/1+04:56
asm_1.step_298 10/1+00:00
asm_1.step_299 52/1+00:00
asm_1.step_300 8/2+00:00
asm_1.step_301 36/1+00:00
asm_1.step_302 23/2+00:00
asm_1.step_303 5/1+04:00
asm_1.step_304 5/1+03:30
asm_1.step_305 22/2+04:03
asm_1.step_306 6/2+00:00
asm_1.step_307 27/1+00:00
asm_1.step_308 2/2+01:00
asm_1.step_309 26/2+00:00
asm_1.step_310 55/2+00:00
asm_1.step_311 6/1+05:00
asm_1.step_312 8/2+00:00
asm_1.step_313 12/2+00:00
asm_1.step_314 3/1+03:45
asm_1.step_315 41/1+00:00
asm_1.step_316 9/1+00:00
asm_1.step_317 31/1+00:00
asm_1.step_318 6/2+04:00
asm_1.step_319 13/1+00:00
asm_1.step_320 14/1+00:00
asm_1.step_321 50/1+00:00
asm_1.step_322 20/2+00:00
asm_1.step_323 14/2+00:00
asm_1.step_324 24/2+04:00
asm_1.step_325 38/1+01:00
asm_1.step_326 39/1+00:00
asm_1.step_327 38/1+05:00
asm_1.step_328 8/1+00:00
asm_1.step_329 3/1+00:00
asm_1.step_330 15/1+05:00
asm_1.step_331 11/2+02:25
asm_1.step_332 11/1+00:00
asm_1.step_333 22/1+00:00
asm_1.step_334 3/1+00:00
asm_1.step_335 48/1+00:00
asm_1.step_336 22/1+01:30
asm_1.step_337 15/1+04:00
asm_1.step_338 11/1+05:53
asm_1.step_339 13/1+00:00
asm_1.step_340 2/1+06:25
asm_1.step_341 19/2+01:00
asm_1.step_342 24/2+00:00
asm_1.step_343 5/1+00:00
asm_1.step_344 5/1+00:00
asm_1.step_345 16/2+01:30
asm_1.step_346 4/2+00:00
asm_1.step_347 20/1+00:00
asm_1.step_348 20/1+00:00
asm_1.step_349 57/1+02:30
asm_1.step_350 16/2+05:33
asm_1.step_351 38/2+00:00
asm_1.step_352 8/1+00:00
asm_1.step_353 4/2+00:00
asm_1.step_354 13/1+00:00
asm_1.step_355 16/1+01:30
asm_1.step_356 5/1+06:25
asm_1.step_357 19/1+01:30
asm_1.step_358 7/2+00:00
asm_1.step_359 40/1+02:25
asm_1.step_360 7/1+04:31
asm_1.step_361 43/2+00:00
asm_1.step_362 3/2+00:00
asm_1.step_363 12/1+00:00
asm_1.step_364 28/2+00:00
asm_1.step_365 18/1+00:00
asm_1.step_366 1/1+00:00
asm_1.step_367 42/1+00:00
asm_1.step_368 3/1+03:45
asm_1.step_369 6/1+06:18
asm_1.step_370 35/1+04:30
asm_1.step_371 7/1+03:00
asm_1.step_372 11/1+00:00
asm_1.step_373 35/1+03:30
asm_1.step_374 23/1+04:00
asm_1.step_375 23/1+00:00
asm_1.step_376 36/1+00:00
asm_1.step_377 12/2+00:00
asm_1.step_378 2/1+00:00
asm_1.step_379 17/1+00:00
asm_1.step_380 4/1+01:47
asm_1.step_381 29/2+00:00
asm_1.step_382 10/2+03:45
asm_1.step_383 1/1+06:03
asm_1.step_384 16/1+00:00
asm_1.step_385 11/1+00:00
asm_1.step_386 2/1+02:25
asm_1.step_387 12/1+00:00
asm_1.step_388 26/1+00:00
asm_1.step_389 26/2+00:00
asm_1.step_390 3/2+06:25
asm_1.step_391 29/1+00:00
asm_1.step_392 53/1+00:00
asm_1.step_393 1/1+04:03
asm_1.step_394 21/2+00:00
asm_1.step_395 15/2+02:25
asm_1.step_396 9/1+00:00
asm_1.step_397 16/1+00:00
asm_1.step_398 4/1+00:00
asm_1.step_399 15/1+03:30
asm_1.step_400 34/1+00:00
asm_1.step_401 20/2+00:00
asm_1.step_402 19/1+04:50
asm_1.step_403 8/2+04:30
asm_1.step_404 16/1+00:00
asm_1.step_405 30/2+00:00
asm_1.step_406 20/1+00:00
asm_1.step_407 13/2+00:00
asm_1.step_408 56/2+00:00
asm_1.step_409 23/2+01:00
asm_1.step_410 16/1+01:00
asm_1.step_411 11/1+04:00
asm_1.step_412 6/1+01:00
asm_1.step_413 19/1+04:50
asm_1.step_414 9/1+00:00
asm_1.step_415 20/1+00:00
asm_1.step_416 5/1+00:00
asm_1.step_417 11/2+00:00
asm_1.step_418 2/1+03:25
asm_1.step_419 35/1+04:00
asm_1.step_420 14/2+00:00
asm_1.step_421 7/1+02:30
asm_1.step_422 3/2+00:00
asm_1.step_423 32/1+00:00
asm_1.step_424 52/1+03:30
asm_1.step_425 15/1+04:00
asm_1.step_426 35/1+04:15
asm_1.step_427 10/1+05:41
asm_1.step_428 12/2+00:00
asm_1.step_429 26/1+04:00
asm_1.step_430 4/1+00:00
asm_1.step_431 7/1+03:36
asm_1.step_432 13/1+02:25
asm_1.step_433 19/1+00:30
asm_1.step_434 8/1+02:25
asm_1.step_435 37/2+00:00
asm_1.step_436 9/2+06:25
asm_1.step_437 20/2+00:00
asm_1.step_438 50/2+06:00
asm_1.step_439 40/1+00:00
asm_1.step_440 5/1+00:00
asm_1.step_441 9/1+00:00
asm_1.step_442 21/1+00:00
asm_1.step_443 7/2+04:30
asm_1.step_444 6/1+00:00
asm_1.step_445 24/2+00:00
asm_1.step_446 2/1+06:25
asm_1.step_447 11/2+00:00
asm_1.step_448 7/1+04:36
asm_1.step_449 4/2+01:00
asm_1.step_450 5/1+02:30
asm_1.step_451 30/1+00:00
asm_1.step_452 27/1+00:00
asm_1.step_453 11/1+00:00
asm_1.step_454 2/1+06:25
asm_1.step_455 10/1+04:41
asm_1.step_456 9/2+06:40
asm_1.step_457 7/1+03:00
asm_1.step_458 21/1+00:00
asm_1.step_459 22/1+07:00
asm_1.step_460 13/2+00:00
asm_1.step_461 6/1+00:00
asm_1.step_462 8/1+00:00
asm_1.step_463 33/1+00:00
asm_1.step_464 4/2+01:45
asm_1.step_465 19/1+03:55
asm_1.step_466 14/1+00:00
asm_1.step_467 16/1+06:25
asm_1.step_468 10/2+00:00
asm_1.step_469 26/2+00:00
asm_1.step_470 28/1+00:00
asm_1.step_471 13/2+03:30
asm_1.step_472 22/2+00:00
asm_1.step_473 8/2+00:00
asm_1.step_474 4/1+07:00
asm_1.step_475 48/2+00:00
asm_1.step_476 5/1+06:25
asm_1.step_477 4/1+00:00
asm_1.step_478 13/2+00:00
asm_1.step_479 8/2+04:00
asm_1.step_480 2/2+00:00
asm_1.step_481 4/2+00:00
asm_1.step_482 21/1+00:00
asm_1.step_483 4/1+00:00
asm_1.step_484 6/2+00:00
asm_1.step_485 27/2+00:00
asm_1.step_486 9/1+04:03
asm_1.step_487 10/1+03:45
asm_1.step_488 29/1+00:00
asm_1.step_489 27/1+00:00
asm_1.step_490 52/1+02:25
asm_1.step_491 4/1+00:00
asm_1.step_492 7/2+00:00
asm_1.step_493 28/2+00:00
asm_1.step_494 25/1+00:00
asm_1.step_495 15/1+00:00
asm_1.step_496 3/2+04:00
asm_1.step_497 33/2+00:00
asm_1.step_498 17/1+05:30
asm_1.step_499 29/2+00:00
asm_1.step_500 3/2+00:00
asm_1.step_501 19/1+04:19
asm_1.step_502 8/2+03:30
asm_1.step_503 7/1+02:30
asm_1.step_504 2/2+00:00
asm_1.step_505 12/1+00:00
asm_1.step_506 12/1+00:00
asm_1.step_507 3/1+00:00
asm_1.step_508 20/2+04:00
asm_1.step_509 9/2+00:00
asm_1.step_510 11/1+02:25
asm_1.step_511 32/2+00:00
asm_1.step_512 32/1+00:00
asm_1.step_513 18/1+00:00
asm_1.step_514 2/2+02:25
asm_1.step_515 51/2+00:00
asm_1.step_516 15/2+00:00
asm_1.step_517 10/1+00:00
asm_1.step_518 53/2+00:00
asm_1.step_519 9/2+00:00
asm_1.step_520 1/1+00:00
asm_1.step_521 17/2+00:00
asm_1.step_522 11/2+00:00
asm_1.step_523 54/1+00:00
asm_1.step_524 17/1+05:30
asm_1.step_525 19/1+03:55
asm_1.step_526 23/1+04:00
asm_1.step_527 9/2+03:45
asm_1.step_528 10/1+03:45
asm_1.step_529 6/1+00:00
asm_1.step_530 15/1+04:30
asm_1.step_531 5/1+00:00
asm_1.step_532 8/2+00:00
asm_1.step_533 7/1+06:01
asm_1.step_534 33/2+00:00
asm_1.step_535 17/1+00:30
asm_1.step_536 14/2+00:00
asm_1.step_537 9/2+00:00
asm_1.step_538 5/1+04:00
asm_1.step_539 21/1+00:00
asm_1.step_540 35/1+03:45
asm_1.step_541 13/1+00:00
asm_1.step_542 17/1+00:30
asm_1.step_543 4/2+00:00
asm_1.step_544 9/2+02:25
asm_1.step_545 17/1+02:31
asm_1.step_546 15/2+03:10
asm_1.step_547 51/1+00:00
asm_1.step_548 3/2+00:00
asm_1.step_549 42/2+00:00
asm_1.step_550 4/1+04:30
asm_1.step_551 16/1+04:00
asm_1.step_552 9/2+00:00
asm_1.step_553 18/1+00:00
asm_1.step_554 55/1+00:00
asm_1.step_555 11/2+00:00
asm_1.step_556 12/1+04:03
asm_1.step_557 26/1+00:00
asm_1.step_558 35/1+00:00
asm_1.step_559 45/1+00:00
asm_1.step_560 3/1+03:45
asm_1.step_561 16/1+06:25
asm_1.step_562 10/1+00:00
asm_1.step_563 21/1+00:15
asm_1.step_564 56/1+00:00
asm_1.step_565 15/2+00:00
asm_1.step_566 29/1+00:00
asm_1.step_567 50/1+00:00
asm_1.step_568 2/1+06:25
asm_1.step_569 19/1+00:00
asm_1.step_570 16/1+00:00
asm_1.step_571 21/2+00:00
asm_1.step_572 36/1+02:00
asm_1.step_573 7/1+00:00
asm_1.step_574 11/1+04:00
asm_1.step_575 5/1+00:00


